Day,Cash On Hand (Accumulated) (USD)
0,3500000
1,3487400
2,3321580
3,2503610
4,2529955
5,2502569
6,1312358
7,1218285
8,666935
9,216136
10,562065
11,1824416
12,1598153
13,1878082
14,2023497
15,2145248
16,4057778
17,3871245
18,3710890
19,4005468
20,3856018
21,3476384
22,2945569
23,4041507
24,4349444
25,3191604
26,3312303
27,3387919
28,4260461
29,5612423
30,5245820
31,5658583
32,6286878
33,5874376
34,4337612
35,4608561
36,3841320
37,4134151
38,4199346
39,5551395
40,4781911
41,4842219
42,4678401
43,5379970
44,5789385
45,5329199
46,5742028
47,5146449
48,5071476
49,5617626
50,6194253
51,6968249
52,7110311
53,7118776
54,6925700
55,7290930
56,7490094
57,8128181
58,8097190
59,7898168
60,8055635
61,7778199
62,7478396
63,7718293
64,8054090
65,8046885
66,7962672
67,8458589
68,8943832
69,8963728
70,9261788
71,7958938
72,8089900
73,8945612
74,9024690
75,9340848
76,9412449
77,9398954
78,9973659
79,11072228
80,11719963
81,11452526
82,11595614
83,10390226
84,10279271
85,11187632
86,10970094
87,11527578
88,11636084
89,12121464
90,12671015
