Day,Net Profit (Accumulated) (USD)
0,0
1,-12600
2,-178420
3,-264085
4,-289052
5,-335236
6,-362663
7,-392375
8,-443205
9,-399310
10,-253027
11,558399
12,582637
13,1274877
14,1297419
15,1306828
16,2426544
17,2382716
18,2322088
19,3126476
20,3078950
21,3082544
22,3520348
23,4007793
24,4154350
25,4090072
26,4104349
27,4083523
28,4520866
29,5191170
30,5134323
31,5319009
32,5529593
33,5515899
34,5660722
35,6059517
36,5961138
37,6186451
38,6623412
39,7205399
40,7141372
41,7320157
42,7191862
43,7473822
44,7628496
45,7614718
46,7707021
47,7686073
48,7803965
49,7929127
50,8042281
51,8310778
52,8316312
53,8313119
54,8403926
55,8492815
56,8512659
57,8679102
58,8643412
59,8515577
60,8563317
61,8455225
62,8537653
63,8568019
64,8730080
65,8656406
66,8559485
67,8745563
68,8967486
69,9194643
70,9334256
71,9363775
72,9420015
73,9631338
74,9745918
75,9966429
76,10091050
77,10115381
78,10795319
79,11400388
80,11692373
81,11820464
82,11908128
83,11900893
84,11838840
85,11862910
86,11853231
87,11959298
88,11959954
89,12041582
90,12124428
