[HIGHEST OVERHEAD] Salary Expense: 22.58%
[CASH DEFICIT] DAY: 1, AMOUNT: USD 12600 
[CASH DEFICIT] DAY: 2, AMOUNT: USD 165820 
[CASH DEFICIT] DAY: 3, AMOUNT: USD 817970 
[CASH DEFICIT] DAY: 5, AMOUNT: USD 27386 
[CASH DEFICIT] DAY: 6, AMOUNT: USD 1190211 
[CASH DEFICIT] DAY: 7, AMOUNT: USD 94073 
[CASH DEFICIT] DAY: 8, AMOUNT: USD 551350 
[CASH DEFICIT] DAY: 9, AMOUNT: USD 450799 
[CASH DEFICIT] DAY: 12, AMOUNT: USD 226263 
[CASH DEFICIT] DAY: 17, AMOUNT: USD 186533 
[CASH DEFICIT] DAY: 18, AMOUNT: USD 160355 
[CASH DEFICIT] DAY: 20, AMOUNT: USD 149450 
[CASH DEFICIT] DAY: 21, AMOUNT: USD 379634 
[CASH DEFICIT] DAY: 22, AMOUNT: USD 530815 
[CASH DEFICIT] DAY: 25, AMOUNT: USD 1157840 
[CASH DEFICIT] DAY: 30, AMOUNT: USD 366603 
[CASH DEFICIT] DAY: 33, AMOUNT: USD 412502 
[CASH DEFICIT] DAY: 34, AMOUNT: USD 1536764 
[CASH DEFICIT] DAY: 36, AMOUNT: USD 767241 
[CASH DEFICIT] DAY: 40, AMOUNT: USD 769484 
[CASH DEFICIT] DAY: 42, AMOUNT: USD 163818 
[CASH DEFICIT] DAY: 45, AMOUNT: USD 460186 
[CASH DEFICIT] DAY: 47, AMOUNT: USD 595579 
[CASH DEFICIT] DAY: 48, AMOUNT: USD 74973 
[CASH DEFICIT] DAY: 54, AMOUNT: USD 193076 
[CASH DEFICIT] DAY: 58, AMOUNT: USD 30991 
[CASH DEFICIT] DAY: 59, AMOUNT: USD 199022 
[CASH DEFICIT] DAY: 61, AMOUNT: USD 277436 
[CASH DEFICIT] DAY: 62, AMOUNT: USD 299803 
[CASH DEFICIT] DAY: 65, AMOUNT: USD 7205 
[CASH DEFICIT] DAY: 66, AMOUNT: USD 84213 
[CASH DEFICIT] DAY: 71, AMOUNT: USD 1302850 
[CASH DEFICIT] DAY: 77, AMOUNT: USD 13495 
[CASH DEFICIT] DAY: 81, AMOUNT: USD 267437 
[CASH DEFICIT] DAY: 83, AMOUNT: USD 1205388 
[CASH DEFICIT] DAY: 84, AMOUNT: USD 110955 
[CASH DEFICIT] DAY: 86, AMOUNT: USD 217538 
[PROFIT DEFICIT] DAY: 1, AMOUNT: USD 12600
[PROFIT DEFICIT] DAY: 2, AMOUNT: USD 165820
[PROFIT DEFICIT] DAY: 3, AMOUNT: USD 85665
[PROFIT DEFICIT] DAY: 4, AMOUNT: USD 24967
[PROFIT DEFICIT] DAY: 5, AMOUNT: USD 46184
[PROFIT DEFICIT] DAY: 6, AMOUNT: USD 27427
[PROFIT DEFICIT] DAY: 7, AMOUNT: USD 29712
[PROFIT DEFICIT] DAY: 8, AMOUNT: USD 50830
[PROFIT DEFICIT] DAY: 17, AMOUNT: USD 43828
[PROFIT DEFICIT] DAY: 18, AMOUNT: USD 60628
[PROFIT DEFICIT] DAY: 20, AMOUNT: USD 47526
[PROFIT DEFICIT] DAY: 25, AMOUNT: USD 64278
[PROFIT DEFICIT] DAY: 27, AMOUNT: USD 20826
[PROFIT DEFICIT] DAY: 30, AMOUNT: USD 56847
[PROFIT DEFICIT] DAY: 33, AMOUNT: USD 13694
[PROFIT DEFICIT] DAY: 36, AMOUNT: USD 98379
[PROFIT DEFICIT] DAY: 40, AMOUNT: USD 64027
[PROFIT DEFICIT] DAY: 42, AMOUNT: USD 128295
[PROFIT DEFICIT] DAY: 45, AMOUNT: USD 13778
[PROFIT DEFICIT] DAY: 47, AMOUNT: USD 20948
[PROFIT DEFICIT] DAY: 53, AMOUNT: USD 3193
[PROFIT DEFICIT] DAY: 58, AMOUNT: USD 35690
[PROFIT DEFICIT] DAY: 59, AMOUNT: USD 127835
[PROFIT DEFICIT] DAY: 61, AMOUNT: USD 108092
[PROFIT DEFICIT] DAY: 65, AMOUNT: USD 73674
[PROFIT DEFICIT] DAY: 66, AMOUNT: USD 96921
[PROFIT DEFICIT] DAY: 83, AMOUNT: USD 7235
[PROFIT DEFICIT] DAY: 84, AMOUNT: USD 62053
[PROFIT DEFICIT] DAY: 86, AMOUNT: USD 9679
